Active,Term,mgr domoe,mgr cox,mgr garza,mgr jenkins,mgr ortega,mgr quintana,mgr estrella,mgr lopez,mgr mcbroome,Hired Jan,Hired Feb,Hired Mar,Hired Apr,Hired May,Hired Jun,Hired Jul,Hired Aug,DaysSinceHire,Dept QC,Dept Ext,Dept Admin,Dept Maint,Dept Ship,Qualtech,Downstream,AdminAst,MaintElec,Operator,ReelBldr,Grinder,Inventory,shift differential yes,shift differential no,shift 5day,shift a,shift b,shift c,shift d,shift days,shift nights,Base Rate,Base Salary,Average Daily Hours,Normal Weekly Hours,DaysEmployed,MilesDrive
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,247,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,26,54080,8,40,146,6.1
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,246,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,14.64,30451.2,12,40,72,6.1
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,236,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,14.64,30451.2,12,40,12,8.6
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,230,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,21,43680,8,40,129,2.1
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,191,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,18,37440,12,40,90,8.6
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,191,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32,66560,8,40,1,2.1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,149,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,21,43680,12,40,48,6.1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,149,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,21.87,47764.08,12,42,117,2.1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,142,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,15.2,33196.8,12,42,49,6.1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,135,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,21.87,47764.08,12,42,34,2.1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,128,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,18.13,37710.4,8,40,27,2.1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,128,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,18,37440,8,40,744,2.1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,110,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,22,48048,12,42,9,6.1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,104,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,18,37440,12,40,74,2.1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,79,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,19,41496,12,42,0,2.1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,18,37440,12,40,37,6.1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,21,43680,12,40,37,2.1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,21,43680,12,40,47,2.1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,72,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,18,37440,8,40,0,2.1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,72,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,18,37440,8,40,37,2.1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,72,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,18,37440,8,40,0,2.1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,72,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,21,43680,8,40,0,6.1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,64,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,18,37440,12,40,39,8.6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,33,68640,8,40,2,6.1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,21,43680,12,40,39,8.6
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,21,43680,12,40,4,2.1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,21.87,45489.6,12,40,19,31
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,18,37440,12,40,1,2.1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,37,76960,8,40,225,6.1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,51,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,18,37440,12,40,20,6.1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,51,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,21,43680,12,40,1969,2.1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,51,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,18,37440,8,40,2321,6.1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,18,37440,12,40,781,2.1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,21,43680,12,40,0,30.9
